PERIODO,MES,AGENCIA,SERVICIO HOSPEDAJE,VENTAS HOSPEDAJE EN MILES DE PESOS,SERVICIOS AEREOS,VENTAS AEREOS EN MILES DE PESOS,SERVICIOS TERRESTRE,VENTAS TERRESTRE EN MILES DE PESOS,SERVICIOS EXCURSIONES,VENTAS EXCURSIONES EN MILES DE PESOS,SERVICIOS PAQUETES PROPIOS,VENTAS PAQUETES PROPIOS EN MILES DE PESOS,SERVICIOS PAQUETES NO PROPIOS,VENTAS PAQUETES NO PROPIOS EN MILES DE PESOS,SERVICIOS TURISMO DE NEGOCIOS,VENTAS TURISMO DE NEGOCIOS EN MILES DE PESOS,SERVICIOS BALNEARIO Y O PARQUES RECREATIVOS,VENTAS BALNEARIO Y O PARQUES RECREATIVOS EN MILES DE PESOS
2014,ENERO JUNIO,TUXTLA GUTIERREZ CHIAPAS,28,67,1899,8599.44,7154,8196.27,0,0,0,0,350,1595.79,0,0,0,0
2014,ENERO JUNIO,CHIHUAHUA CHIHUAHUA,62,249.83,53,5634.29,299,2073.48,0,0,0,0,231,1003.6,0,0,0,0
2014,ENERO JUNIO,DURANGO DURANGO,106,283.05,732,2507.32,4401,5216.77,0,0,0,0,163,828.66,0,0,0,0
2014,ENERO JUNIO,CELAYA GUANAJUATO,157,540.39,7,132.43,8022,5110.62,0,0,0,0,34,1145.8,0,0,0,0
2014,ENERO JUNIO,ACAPULCO GUERRERO,69,45.47,0,0,17193,10391.78,0,0,0,0,1,2.27,0,0,0,0
2014,ENERO JUNIO,PACHUCA HIDALGO,182,251.49,24,193.3,3,9.28,0,0,0,0,76,425.42,2,13.38,0,0
2014,ENERO JUNIO,GUADALAJARA JALISCO,6,4.39,116,631.52,8436,13139.07,0,0,0,0,134,569.81,0,0,0,0
2014,ENERO JUNIO,TOLUCA ESTADO MEXICO,250,654.74,36,201.81,0,0,0,0,0,0,135,2611.14,0,0,0,0
2014,ENERO JUNIO,MORELIA MICHOACAN,14,133.53,2,32817,403,16575.29,0,0,0,0,2,21.95,0,0,0,0
2014,ENERO JUNIO,CUERNAVACA MORELOS,460,636.26,8,203482,35,331.67,0,0,0,0,50,382.22,0,0,0,0
2014,ENERO JUNIO,TEPIC NAYARIT,128,300,499,2188.9,437,3737.13,0,0,0,0,116,664.05,0,0,0,0
2014,ENERO JUNIO,MONTERREY NUEVO LEON,11,90.19,310,1283.17,14,351.18,0,0,0,0,62,561.77,0,0,0,0
2014,ENERO JUNIO,OAXACA OAXACA,78,195.41,53,2945.16,202,2148.45,0,0,0,0,146,633.15,0,0,0,0
2014,ENERO JUNIO,PUEBLA PUEBLA,64,130.04,49,284.68,15,102.68,0,0,0,0,119,849195.39,0,0,0,0
2014,ENERO JUNIO,QUERETARO QUERETARO,70,131.56,26,95.9,2907,3438.57,0,0,0,0,12,80.43,0,0,0,0
2014,ENERO JUNIO,CHETUMAL QUINTANA ROO,17,20.93,300,4394.51,28721,8764.03,0,0,0,0,267,779.48,0,0,0,0
2014,ENERO JUNIO,SAN LUS POTOSI SAN LUIS POTOSI,9,29,30,417.88,583,4068.89,0,0,0,0,3,37.84,0,0,0,0
2014,ENERO JUNIO,CULIACAN SINALOA,6,26.69,85,9445.21,400,1165.97,0,0,0,0,480,1640.22,0,0,0,0
2014,ENERO JUNIO,HERMOSILLO SONORA,7,17.38,103,5626.34,191,1945.11,0,0,0,0,212,1136.43,0,0,0,0
2014,ENERO JUNIO,VILLAHERMOSA TABASCO,15,36.39,24,1772.36,39,4500.66,0,0,0,0,94,368.61,0,0,0,0
2014,ENERO JUNIO,TAMPICO TAMAULIPAS,35,31.26,475,2248.02,21,58.08,0,0,0,0,126,780.75,0,0,0,0
2014,ENERO JUNIO,TLAXCALA TLAXCALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ENERO JUNIO,JALAPA VERACRUZ,2,30.51,114,443.5,0,0,0,0,0,0,46,279.19,0,0,0,0
2014,ENERO JUNIO,MERIDA YUCATAN,0,0,30,4407.05,0,0,0,0,0,0,201,809.74,0,0,0,0
2014,ENERO JUNIO,ZACATECAS ZACATECAS,53,225.89,359,1626.49,678,1351.39,0,0,0,0,118,951.46,0,0,0,0
2014,JULIO DICIEMBRE,REFORMA,1302,3010.94,6992,271448.83,303,908112.55,212,664.51,0,0,2165,352969.5,538,1244487.6,58,16.4
2014,JULIO DICIEMBRE,ASOCIACION AUTONOMA DEL PERSONAL ACADEMICO DE LA UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,61,100.52,8,106.31,1,0.49,0,0,0,0,75,764.85,0,0,0,0
